,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
0,Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,190Nm@ 2000rpm,5
1,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,250Nm@ 1500-2500rpm,5
2,Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5
3,Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5
4,Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,16.1,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5
5,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,113.75nm@ 4000rpm,5
6,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5
7,Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,59Nm@ 2500rpm,4
8,Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,23.59,1364,67.1,170Nm@ 1800-2400rpm,5
9,Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399,68.1,160Nm@ 2000rpm,5
10,Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.01,1461,108.45,248Nm@ 2250rpm,5
11,Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,78Nm@ 4500rpm,5
12,Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,190Nm@ 2000rpm,5
14,Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,84Nm@ 3500rpm,5
15,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,115Nm@ 3500-3600rpm,5
16,Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,200Nm@ 1750rpm,7
17,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5
18,Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,62Nm@ 3000rpm,5
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5
20,Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,160Nm@ 2000rpm,5
21,Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,200Nm@ 1750rpm,5
22,Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,190Nm@ 2000rpm,5
23,Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,200Nm@ 1750rpm,5
24,Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,114Nm@ 3500rpm,5
25,Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,115Nm@ 4000rpm,5
26,Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,69Nm@ 3500rpm,5
27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,172.5Nm@ 1750rpm,7
28,Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,84Nm@ 3500rpm,5
29,Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,59Nm@ 2500rpm,8
30,Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5
32,Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,6.1kgm@ 3000rpm,5
33,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,114.7Nm@ 4000rpm,5
34,Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5
35,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,60Nm@ 3500rpm,4
36,Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,90Nm@ 3500rpm,5
37,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5
38,Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,104Nm@ 4000rpm,5
39,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,320Nm@ 1700-2700rpm,7
40,Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,59Nm@ 2500rpm,4
41,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,250Nm@ 1750-2500rpm,5
42,Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,145Nm@ 4600rpm,5
43,Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,146Nm@ 4800rpm,5
44,Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,115Nm@ 4000rpm,5
45,Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,200Nm@ 1750rpm,5
46,Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,90Nm@ 3500rpm,5
47,Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,343Nm@ 1400-3400rpm,7
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,200Nm@ 1400-3400rpm,7
49,Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,200Nm@ 1250-4000rpm,5
50,Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,200Nm@ 1750rpm,5
51,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,400Nm@ 2000-2500rpm,7
52,Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,200Nm@ 1750rpm,5
